,skeleton-id,node-id-src,node-id-dst,branch-distance,branch-type,mean-pixel-value,stdev-pixel-value,image-coord-src-0,image-coord-src-1,image-coord-dst-0,image-coord-dst-1,coord-src-0,coord-src-1,coord-dst-0,coord-dst-1,euclidean-distance
54,8,2089,3426,27.07106781186548,1,1.0,0.0,304.0,1370.0,309.0,1345.0,304.0,1370.0,309.0,1345.0,25.495097567963924
55,8,2089,2853,43.27651036954187,2,1.0,0.0,304.0,1370.0,342.6666666666667,1381.3333333333333,304.0,1370.0,342.6666666666667,1381.3333333333333,40.29336863003086
56,30,2093,2396,62.698484809834994,0,1.0,0.0,235.0,944.0,255.0,895.0,235.0,944.0,255.0,895.0,52.92447448959697
57,8,2181,2964,55.493271593864364,2,1.0,0.0,307.25,1432.0,357.0,1417.75,307.25,1432.0,357.0,1417.75,51.750603861211125
58,26,2192,3605,10.843991561820829,1,1.0,0.0,319.25,720.0,317.0,710.0,319.25,720.0,317.0,710.0,10.25
59,26,2192,4597,62.51955262170044,1,1.0,0.0,319.25,720.0,360.0,757.0,319.25,720.0,360.0,757.0,55.04146164483643
60,24,2193,3447,16.90947006083585,1,1.0,0.0,324.0,1639.8,310.0,1633.0,324.0,1639.8,310.0,1633.0,15.564061166674955
61,24,2193,3003,108.23994701571475,2,1.0,0.0,324.0,1639.8,397.3333333333333,1698.3333333333333,324.0,1639.8,397.3333333333333,1698.3333333333333,93.82925390777059
62,24,2193,2982,53.5469056410559,2,1.0,0.0,324.0,1639.8,371.3333333333333,1624.6666666666667,324.0,1639.8,371.3333333333333,1624.6666666666667,49.6936839268555
63,24,2194,3757,4.1138867335707605,1,1.0,0.0,325.3333333333333,1580.6666666666667,324.0,1577.0,325.3333333333333,1580.6666666666667,324.0,1577.0,3.9015666369066064
64,24,2194,2979,50.20030407794269,2,1.0,0.0,325.3333333333333,1580.6666666666667,371.0,1592.25,325.3333333333333,1580.6666666666667,371.0,1592.25,47.11282262352316
65,31,2209,2278,8.65685424949238,0,1.0,0.0,243.0,1235.0,249.0,1240.0,243.0,1235.0,249.0,1240.0,7.810249675906654
66,32,2253,3636,76.38477631085021,0,1.0,0.0,247.0,1174.0,318.0,1167.0,247.0,1174.0,318.0,1167.0,71.34423592694787
67,33,2453,3597,168.29646455628176,0,1.0,0.0,257.0,1349.0,316.0,1323.0,257.0,1349.0,316.0,1323.0,64.47480127925948
68,34,2494,2539,6.242640687119285,0,1.0,0.0,259.0,1120.0,262.0,1115.0,259.0,1120.0,262.0,1115.0,5.830951894845301
69,35,2525,3573,11.0,1,1.0,0.0,326.0,853.0,315.0,853.0,326.0,853.0,315.0,853.0,11.0
70,35,2525,3883,12.071067811865476,1,1.0,0.0,326.0,853.0,331.0,843.0,326.0,853.0,331.0,843.0,11.180339887498949
71,35,2525,2852,24.69072393191496,2,1.0,0.0,326.0,853.0,338.3333333333333,872.6666666666666,326.0,853.0,338.3333333333333,872.6666666666666,23.213980461973488
72,36,2733,2835,10.485281374238571,0,1.0,0.0,272.0,1664.0,280.0,1670.0,272.0,1664.0,280.0,1670.0,10.0
73,22,2791,2931,77.05719499741724,1,1.0,0.0,277.0,1237.0,347.0,1219.75,277.0,1237.0,347.0,1219.75,72.09412250662324
74,35,2852,3968,6.299831645537235,1,1.0,0.0,338.3333333333333,872.6666666666666,336.0,878.0,338.3333333333333,872.6666666666666,336.0,878.0,5.8214163988576875
75,35,2852,5057,55.640798668151874,1,1.0,0.0,338.3333333333333,872.6666666666666,383.0,898.0,338.3333333333333,872.6666666666666,383.0,898.0,51.35064643107127
76,8,2853,4145,5.2998316455371555,1,1.0,0.0,342.6666666666667,1381.3333333333333,345.0,1377.0,342.6666666666667,1381.3333333333333,345.0,1377.0,4.921607686744391
77,8,2853,2964,42.26915105666124,2,1.0,0.0,342.6666666666667,1381.3333333333333,357.0,1417.75,342.6666666666667,1381.3333333333333,357.0,1417.75,39.13589216506455
78,22,2864,2932,10.558036769731157,2,1.0,0.0,344.75,951.0,350.3333333333333,942.6666666666666,344.75,951.0,350.3333333333333,942.6666666666666,10.030855175684474
79,22,2864,2919,51.84399156182083,2,1.0,0.0,344.75,951.0,345.0,1002.0,344.75,951.0,345.0,1002.0,51.000612741417136
80,22,2919,3759,162.60281374238565,2,1.0,0.0,345.0,1002.0,479.75,1065.0,345.0,1002.0,479.75,1065.0,148.75
81,22,2931,2933,46.00799021962581,2,1.0,0.0,347.0,1219.75,355.25,1177.0,347.0,1219.75,355.25,1177.0,43.538775821099975
82,22,2931,3780,169.49676863422428,2,1.0,0.0,347.0,1219.75,488.6666666666667,1280.6666666666667,347.0,1219.75,488.6666666666667,1280.6666666666667,154.20857538484117
83,22,2932,4259,5.548588308184002,1,1.0,0.0,350.3333333333333,942.6666666666666,348.0,938.0,350.3333333333333,942.6666666666666,348.0,938.0,5.217491947499467
84,22,2932,4747,21.7707409830631,1,1.0,0.0,350.3333333333333,942.6666666666666,370.0,948.0,350.3333333333333,942.6666666666666,370.0,948.0,20.37700228743726
85,22,2933,4213,15.50084581131321,1,1.0,0.0,355.25,1177.0,346.0,1167.0,355.25,1177.0,346.0,1167.0,13.622132725825278
86,22,2933,3654,133.11872072950965,2,1.0,0.0,355.25,1177.0,473.6666666666667,1209.3333333333333,355.25,1177.0,473.6666666666667,1209.3333333333333,122.7515840585729
87,8,2964,2980,16.20248684483498,2,1.0,0.0,357.0,1417.75,372.0,1421.25,357.0,1417.75,372.0,1421.25,15.402921800749363
88,8,2978,3221,119.16967846505716,1,1.0,0.0,369.0,1464.75,301.0,1540.0,369.0,1464.75,301.0,1540.0,101.42269223403606
89,8,2978,2980,45.57106781186547,2,1.0,0.0,369.0,1464.75,372.0,1421.25,369.0,1464.75,372.0,1421.25,43.603325561245896
90,8,2978,5065,16.086632248940113,1,1.0,0.0,369.0,1464.75,383.0,1470.0,369.0,1464.75,383.0,1470.0,14.95200655430568
91,24,2979,2982,33.27810029594386,2,1.0,0.0,371.0,1592.25,371.3333333333333,1624.6666666666667,371.0,1592.25,371.3333333333333,1624.6666666666667,32.41838041742514
92,24,2979,3761,143.8309651454494,2,1.0,0.0,371.0,1592.25,484.3333333333333,1521.3333333333333,371.0,1592.25,484.3333333333333,1521.3333333333333,133.69225129212074
93,8,2980,3111,33.80679343237794,2,1.0,0.0,372.0,1421.25,403.6666666666667,1415.6666666666667,372.0,1421.25,403.6666666666667,1415.6666666666667,32.15511450592097
94,24,2982,3105,30.813559904768294,2,1.0,0.0,371.3333333333333,1624.6666666666667,401.6666666666667,1626.3333333333333,371.3333333333333,1624.6666666666667,401.6666666666667,1626.3333333333333,30.37908637350522
95,37,3002,5214,7.548588308184082,1,1.0,0.0,397.6666666666667,961.3333333333334,391.0,959.0,397.6666666666667,961.3333333333334,391.0,959.0,7.063206700139061
96,37,3002,5411,10.528100295943744,1,1.0,0.0,397.6666666666667,961.3333333333334,400.0,971.0,397.6666666666667,961.3333333333334,400.0,971.0,9.944289260117491
